"method"	"scenario"	"trial"	"corP"	"wEnv.corP"	"nb.genos"	"nb.envs"
"GBLUP"	"CV0"	"AWY1_DVPWA_2024"	NA	NA	NA	NA
"GBLUP"	"CV0"	"TCAP_2025_MANKS"	NA	NA	NA	NA
"GBLUP"	"CV0"	"25_Big6_SVREC_SVREC"	NA	NA	NA	NA
"GBLUP"	"CV0"	"OHRWW_2025_SPO"	0.182	0.182	65	1
"GBLUP"	"CV0"	"CornellMaster_2025_McGowan"	NA	NA	NA	NA
"GBLUP"	"CV0"	"24Crk_AY2-3"	-0.799	0.162	387	6
"GBLUP"	"CV0"	"2025_AYT_Aurora"	-0.081	0.074	157	2
"GBLUP"	"CV0"	"YT_Urb_25"	0.145	0.185	1548	6
"GBLUP"	"CV0"	"STP1_2025_MCG"	NA	NA	NA	NA
