"method"	"scenario"	"trial"	"corP"	"wEnv.corP"	"nb.genos"	"nb.envs"
"GBLUP"	"CV00"	"AWY1_DVPWA_2024"	-0.964	-0.0386405835546898	27	3
"GBLUP"	"CV00"	"TCAP_2025_MANKS"	0.07	0.186794567454886	516	19
"GBLUP"	"CV00"	"25_Big6_SVREC_SVREC"	0.078	0.024311939310512	3503	35
"GBLUP"	"CV00"	"OHRWW_2025_SPO"	-0.796	-0.150823969028366	109	3
"GBLUP"	"CV00"	"CornellMaster_2025_McGowan"	-0.015	-0.0150180085017616	4	1
"GBLUP"	"CV00"	"24Crk_AY2-3"	-0.642	0.11457400322327	313	28
"GBLUP"	"CV00"	"2025_AYT_Aurora"	-0.202	0.229963867592929	117	6
"GBLUP"	"CV00"	"YT_Urb_25"	0.092	0.0909098521304474	3066	30
"GBLUP"	"CV00"	"STP1_2025_MCG"	-0.295	0.0277554613050542	171	49
