"protocol_id","protocol_name","project_id","project_name","file_name","out_file","file_size"
"289","Allegro V1","10653","Allegro V1 template","2025-11-21_19:44:09_fileLlz1","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_289_proj_10653_2025-11-21_19:44:09_fileLlz1.vcf.gz",157208
"289","Allegro V1","10655","KSU_2023_Allegro","2025-12-01_18:08:55_file17g9","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_289_proj_10655_2025-12-01_18:08:55_file17g9.vcf.gz",43905791
"289","Allegro V1","10654","UCD_2020_Allegro","2025-11-21_20:16:23_filebzZL","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_289_proj_10654_2025-11-21_20:16:23_filebzZL.vcf.gz",15562967
"297","Allegro V2","10656","Allegro_V2_template","2025-12-15_15:35:59_filefXrF","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_297_proj_10656_2025-12-15_15:35:59_filefXrF.vcf.gz",241003
"297","Allegro V2","10683","KSU_2023_Allegro_V2","2025-12-15_15:53:46_filewSYV","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_297_proj_10683_2025-12-15_15:53:46_filewSYV.vcf.gz",15901418
"297","Allegro V2","10830","KSU_2024_Allegro_V2","2025-12-15_16:43:21_fileY4ZA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_297_proj_10830_2025-12-15_16:43:21_fileY4ZA.vcf.gz",42572993
"297","Allegro V2","10727","UCD_2020_Allegro_V2","2025-12-15_15:43:43_filechxb","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/TCAP_2025_MANKS/nonFocal/usda_ars_kansas/raw_archived_vcfs/prot_297_proj_10727_2025-12-15_15:43:43_filechxb.vcf.gz",15901418
